screen_width: 1920 screen_height: 937
target_point: 2 target_x: 960 target_y: 38.4
x: 948.4880598628926 y: 484.69681631322834 timestamp: 1658783948560
x: 970.716213423906 y: 467.42045768676866 timestamp: 1658783948638
x: 965.7795426722 y: 444.97272192201865 timestamp: 1658783948719
x: 991.1653603841639 y: 443.92236092989384 timestamp: 1658783948802
x: 999.6213717028658 y: 427.80984705989886 timestamp: 1658783948882
x: 1010.8527649835604 y: 423.6466139786511 timestamp: 1658783948964
x: 1029.0885605045255 y: 422.2516116143456 timestamp: 1658783949042
x: 1035.3386149905448 y: 430.28394997621194 timestamp: 1658783949123
x: 1036.3552755081262 y: 425.6529645026977 timestamp: 1658783949217
x: 1014.2669621057247 y: 425.84017415218204 timestamp: 1658783949303
x: 1019.1115784243765 y: 414.8329414678301 timestamp: 1658783949383
x: 1000.080360319315 y: 378.43105039066955 timestamp: 1658783949468
x: 998.2345709032794 y: 376.23065700302783 timestamp: 1658783949550
x: 1000.1939746228687 y: 379.4898243143769 timestamp: 1658783949633
x: 964.6501660504898 y: 373.33383288792703 timestamp: 1658783949715
x: 918.4389988819621 y: 374.6287512259737 timestamp: 1658783949791
x: 882.388485063207 y: 346.6106577492188 timestamp: 1658783949872
x: 881.8767232472785 y: 344.27909944377933 timestamp: 1658783949960
x: 918.565017148077 y: 350.2631626669958 timestamp: 1658783950063
x: 942.1596767292888 y: 339.36261856803185 timestamp: 1658783950147
x: 960.348150119364 y: 348.6620966298441 timestamp: 1658783950232
x: 980.2726994381709 y: 374.677756413972 timestamp: 1658783950316
x: 1006.8592938373463 y: 397.08356794346304 timestamp: 1658783950396
x: 1003.4835788511763 y: 408.0448818961062 timestamp: 1658783950487
x: 986.3162654119701 y: 414.3902182161519 timestamp: 1658783950567
x: 974.114846913752 y: 384.2258010930536 timestamp: 1658783950649
x: 970.988147964786 y: 360.94219286725394 timestamp: 1658783950730
x: 982.6392478177679 y: 360.3243149596889 timestamp: 1658783950809
x: 980.7458180283451 y: 346.6418552653988 timestamp: 1658783950888
x: 981.0158688160498 y: 330.6942111445608 timestamp: 1658783950972
x: 1015.3818770760529 y: 330.7902986840797 timestamp: 1658783951053
x: 1015.9355990219407 y: 317.7510784196351 timestamp: 1658783951133
x: 1047.1199922475107 y: 331.3809681577683 timestamp: 1658783951214
x: 1035.865919995036 y: 352.8876107878233 timestamp: 1658783951294
x: 1031.283629969836 y: 345.41116593031455 timestamp: 1658783951374
x: 1011.78199975436 y: 331.1911166667679 timestamp: 1658783951457
x: 994.174587997737 y: 330.9965160081158 timestamp: 1658783951535
x: 963.6657921900548 y: 373.5697373039563 timestamp: 1658783951617
x: 951.8164096834859 y: 343.0489237367487 timestamp: 1658783951698
x: 940.6093830959582 y: 371.0693192983305 timestamp: 1658783951777
