screen_width: 1920 screen_height: 937
target_point: 1 target_x: 38.4 target_y: 38.4
x: 1057.6631402226135 y: 448.4550984581064 timestamp: 1658783146950
x: 1064.4238996351805 y: 435.6900188483928 timestamp: 1658783147029
x: 1056.5274085938047 y: 402.7848932507231 timestamp: 1658783147106
x: 1045.3965570085907 y: 400.8107437663584 timestamp: 1658783147188
x: 1035.4440256010535 y: 387.731934369127 timestamp: 1658783147269
x: 1037.9861786368606 y: 371.7807229380772 timestamp: 1658783147349
x: 1025.9052764326102 y: 343.9916679533119 timestamp: 1658783147436
x: 1052.0389079933248 y: 299.44509405463043 timestamp: 1658783147520
x: 1047.6793111630795 y: 250.67102539467996 timestamp: 1658783147598
x: 1030.9279655397895 y: 227.43796508278754 timestamp: 1658783147679
x: 981.8838780575521 y: 232.56212093237662 timestamp: 1658783147758
x: 941.385165243132 y: 234.97240069121995 timestamp: 1658783147838
x: 892.5494050841107 y: 282.6485729448216 timestamp: 1658783147917
x: 843.5164829594949 y: 288.0036261885713 timestamp: 1658783147995
x: 817.4819133643972 y: 331.6115424803236 timestamp: 1658783148080
x: 851.079510846934 y: 320.58585068150074 timestamp: 1658783148162
x: 863.2190597473175 y: 328.2062436590565 timestamp: 1658783148245
x: 887.5891495832968 y: 330.9285718543514 timestamp: 1658783148325
x: 890.5180798552386 y: 330.11757423938815 timestamp: 1658783148402
x: 919.9265686735678 y: 365.7752537857212 timestamp: 1658783148478
x: 947.1193327893282 y: 377.490029735053 timestamp: 1658783148558
x: 978.1574159558642 y: 394.16105673240145 timestamp: 1658783148637
x: 911.2682019276637 y: 490.5791023045465 timestamp: 1658783148712
x: 950.977853265042 y: 461.4605187197184 timestamp: 1658783148791
x: 1013.7619500270282 y: 447.9266406077178 timestamp: 1658783148869
x: 1042.8456018224076 y: 421.53803419063837 timestamp: 1658783148949
x: 1107.1979616717301 y: 382.328154243735 timestamp: 1658783149025
x: 1172.993745909187 y: 374.1814670242391 timestamp: 1658783149103
x: 1227.1500836850978 y: 374.5922734712589 timestamp: 1658783149182
x: 1263.3574932214235 y: 373.737694336461 timestamp: 1658783149259
x: 1293.8334403921767 y: 362.0611058994534 timestamp: 1658783149338
x: 1307.084228497646 y: 353.9780618754544 timestamp: 1658783149414
x: 1369.0832369989923 y: 308.8003194122727 timestamp: 1658783149491
x: 1415.2784411889372 y: 278.7486708244308 timestamp: 1658783149569
x: 1467.1291335919352 y: 250.46656891769481 timestamp: 1658783149648
x: 1449.7901463595965 y: 206.74334339531146 timestamp: 1658783149723
x: 1491.1546717744125 y: 240.17684546104857 timestamp: 1658783149800
x: 1546.9943411583793 y: 271.3609807693868 timestamp: 1658783149878
x: 1493.2509763826588 y: 287.68838894864984 timestamp: 1658783149956
x: 1442.2675128004034 y: 288.56268542645813 timestamp: 1658783150032
x: 1354.314758546608 y: 288.2339213383824 timestamp: 1658783150112
x: 1291.9211899170787 y: 262.22954641784963 timestamp: 1658783150189
x: 1252.669354706692 y: 274.5735778022574 timestamp: 1658783150267
x: 1246.6422927608105 y: 287.47786471380533 timestamp: 1658783150344
x: 1263.2870576536588 y: 309.4604668289511 timestamp: 1658783150425
x: 1275.2051661919136 y: 350.1533078057317 timestamp: 1658783150503
x: 1287.801386269165 y: 345.9170156663702 timestamp: 1658783150582
x: 1281.7528704832491 y: 329.2869148849402 timestamp: 1658783150660
x: 1297.997522715408 y: 318.0463557002451 timestamp: 1658783150739
x: 1131.1746397506333 y: 406.5300946730076 timestamp: 1658783150820
x: 1083.7195914510887 y: 405.46130414502227 timestamp: 1658783150897
x: 1087.9324093509226 y: 358.71796060243435 timestamp: 1658783150976
x: 1112.0844052964792 y: 327.8479764734503 timestamp: 1658783151054
x: 1136.126774789781 y: 322.1968331114264 timestamp: 1658783151132
x: 1142.2420128379956 y: 319.19096852707065 timestamp: 1658783151213
x: 1178.4863515848517 y: 325.0381363710218 timestamp: 1658783151291
x: 1157.35035837083 y: 328.4725471324343 timestamp: 1658783151372
x: 1158.1350772553826 y: 309.29747003578467 timestamp: 1658783151451
x: 1162.9677300678838 y: 314.5298683155063 timestamp: 1658783151589
x: 1163.0386771017218 y: 311.2491203687952 timestamp: 1658783151672
x: 1155.253435190489 y: 353.97693445016176 timestamp: 1658783151752
x: 1161.1627639133471 y: 364.64516752891274 timestamp: 1658783151835
x: 1173.0530068245928 y: 354.3647654989567 timestamp: 1658783151915
x: 1182.0265891321978 y: 359.93510458711864 timestamp: 1658783151991
x: 1155.3155262216528 y: 340.77216241601514 timestamp: 1658783152072
