screen_width: 1313 screen_height: 685
target_point: 3 target_x: 1286.74 target_y: 26.26
x: 1291.3543728833115 y: 143.48782425825038
x: 1284.723148617829 y: 113.12961534005447
x: 1262.2078183838207 y: 100.65214006471153
x: 1239.3285567383807 y: 135.75842358584836
x: 1269.3220055831712 y: 82.32537826982312
x: 1296.637083755234 y: 19.296865976872084
x: 1309.4951420421523 y: 7.7724969567690465
x: 1277.8764938840293 y: 16.468056392787027
x: 1263.2169883716256 y: 37.389812861013155
x: 1268.2724454715578 y: 20.737197985107635
x: 1275.11823403473 y: 22.95231204191068
x: 1301.1289210461928 y: 35.14537258723388
x: 1201.4140460930605 y: 28.46851546018921
x: 1176.5238562791849 y: 15.93875310878861
x: 1216.1917001413385 y: 70.22749173387797
x: 1243.4201898222805 y: 113.1737314612305
x: 1217.0192896564347 y: 122.1954850753063
x: 1221.1478499459445 y: 114.81822426191525
x: 1193.5515605502883 y: 69.446993491233
x: 1236.4557286819045 y: 14.847409153646197
x: 1294.1552644478757 y: 12.973637710227152
x: 1315.6864609118757 y: 0.3049415339190018
x: 1400.5073894795132 y: 34.878524268329315
x: 1339.4815442716767 y: 41.38661649843657
x: 1302.4084567528234 y: 60.213566781339786
x: 1346.2543571873323 y: 58.48697176283277
x: 1340.0667701139917 y: 60.94462955425114
x: 1352.675700067295 y: 80.37618678494552
x: 1367.9056869518938 y: 80.1999779290566
x: 1365.1068449350441 y: 65.15177449875854
x: 1408.0936177246272 y: 102.18698561114547
x: 1434.4463439565488 y: 56.35497899556779
x: 1390.299617359919 y: 97.02828544517189
x: 1347.7534514741762 y: 58.7498667628815
x: 1419.578870624575 y: 52.09895153245196
x: 1360.6940087995292 y: 53.173130822703804
x: 1332.615710664993 y: 106.70093076517514
x: 1246.297093348825 y: 74.1575199716593
x: 1217.4525963657622 y: 25.3510163250615
x: 1181.523216144157 y: 31.4297465168791
x: 1194.205058998176 y: 32.917560594385016
x: 1159.5080852470912 y: -3.7411486090156245
x: 1133.1594267130165 y: -15.355791033769606
x: 1197.4455704568654 y: 33.34628095063128
x: 1179.5072517351125 y: 89.13591080855792
x: 1225.0297553821972 y: 94.74398653138594
x: 1245.3723995850341 y: 4.657197015631198
x: 1206.482883616154 y: -9.43888588515815
x: 1210.3203437570598 y: -9.890136918642817
x: 1200.1411722558892 y: 19.434203771449205
x: 1183.9364721395918 y: 2.2254663080313914
x: 1210.1090193846605 y: 7.659122159065314
x: 1197.9228456711357 y: 35.48482279561588
x: 1176.1449457523354 y: 42.928279474066585
x: 1241.6734236089703 y: 10.285412607311876
x: 1237.5321481282856 y: 34.81842784174003
x: 1253.5761356801227 y: 24.542652928444888
x: 1275.1605635437193 y: 2.2788664880259297
x: 1263.2978189570856 y: 4.050177790966744
x: 1234.5112037937997 y: 41.54519803367196
x: 1238.525024124632 y: 20.85461856403736
