screen_width: 1314 screen_height: 685
target_point: 7 target_x: 26.28 target_y: 658.72
x: 6.366186447284033 y: 389.72420188561426
x: 45.72844542542173 y: 387.1097252804188
x: 129.14873326792298 y: 384.1604193289002
x: 192.3032650792491 y: 382.08808088552917
x: 200.01957778604998 y: 378.5086795335315
x: 212.4501282410743 y: 377.38488767528963
x: 224.20350727276082 y: 401.4675409351969
x: 271.92596669575187 y: 461.92817215193776
x: 193.60179153063197 y: 470.7312315106468
x: 161.80541344218062 y: 455.3434144252594
x: 83.34693732483973 y: 453.21876839447225
x: 54.1012307577903 y: 474.3489042404091
x: 55.229704726455424 y: 504.16236281030405
x: 252.3254730888065 y: 517.9762159267096
x: 274.7688826628127 y: 577.8407562844619
x: 259.6717663010801 y: 600.5258302710072
x: 253.80858995144445 y: 606.111426215114
x: 232.88208647833034 y: 601.0650008590308
x: 201.07034861579206 y: 622.5050949042806
x: 211.5538352070578 y: 594.7489742137295
x: 221.40501061913898 y: 586.6356916949338
x: 143.8228162620807 y: 541.2764246864172
x: 155.50357306756203 y: 552.9892276000977
x: 134.88808352153433 y: 578.1810133100305
x: 109.60139274541112 y: 582.3287243013668
x: 95.59768183179233 y: 579.0492873090382
x: 80.55649581698567 y: 554.9275784027355
x: 85.68911811447424 y: 544.2065544987447
x: 24.074076299129587 y: 506.1698060197465
x: 57.0165089937105 y: 529.4299946919818
x: 89.3437682708255 y: 555.4743435820384
x: 138.91453766577686 y: 554.3622371002149
x: -36.4948763193851 y: 517.9402644105768
x: -38.653897805426396 y: 498.16992592057835
x: 31.537502551649382 y: 487.7242188734914
x: 51.14664090799519 y: 492.8165434601806
x: 19.187491346696447 y: 504.91822135834514
x: 28.29525680311405 y: 497.39772221774604
x: -23.485277639123737 y: 486.7859250956091
x: -23.637774174437517 y: 536.9765212923769
x: -43.212473606487286 y: 597.8931279224945
x: 72.05832780553158 y: 639.0044715423213
x: 77.30704016643818 y: 632.7439508344337
x: 23.79642343706066 y: 597.7733231268912
x: 102.28598530651212 y: 617.5713207792054
x: 132.01337653544263 y: 598.6393673070959
x: 95.11772456433212 y: 569.5855225079143
x: 102.02847414917194 y: 531.0786895778509
x: 138.13199066721768 y: 515.7198159638989
x: 125.22671850168862 y: 505.233124347388
x: 67.5339139885868 y: 486.9970733580025
x: 38.121093294365565 y: 434.73565472798197
x: 33.05857668582715 y: 442.70530355384557
x: 17.215755901465485 y: 432.71324715401926
x: -23.7860523960191 y: 412.0153983174152
x: 68.13945007094681 y: 427.9752696757179
x: 64.24079367401008 y: 437.81403155941985
x: 76.04180438635231 y: 429.6499896568386
x: 53.408172235925875 y: 410.57416973434306
x: 110.47480700329302 y: 489.3026002396274
x: 87.33394725629691 y: 470.27032198392516
x: 34.818073472573076 y: 479.2023453139707
x: -8.89921826161794 y: 476.4532020705779
x: -70.88602327224044 y: 458.6706205339858
x: -31.2801409851698 y: 468.239449686747
x: 71.9962159761426 y: 529.1300212414711
x: 101.4736706847164 y: 537.4094610077437
x: 172.0398000553272 y: 554.3793354313493
x: 318.24998492636337 y: 605.4532515740552
x: 302.66414487336 y: 588.8111806446577
x: 290.56357704406736 y: 581.9671635706394
x: 201.7362285580317 y: 550.7759452028411
x: 135.5642103032411 y: 518.3058135842558
x: 103.38836133169315 y: 508.45728732337204
x: 47.17400124743845 y: 484.93373123156346
x: 28.058045125541923 y: 522.9298964320177
x: -22.30991694913198 y: 530.0671093338801
x: -67.25329025535984 y: 521.7313750885668
x: -70.36337618326368 y: 520.5375801179171
x: -102.41979406858378 y: 514.8445841275975
x: 18.52307627695663 y: 555.8553862505681
x: 79.9519564062896 y: 581.4325128100954
x: 57.204770910496485 y: 579.5650874784034
x: 72.02626181565061 y: 591.7109708858499
x: 64.60631559458632 y: 562.0249410069812
x: -4.23004804011245 y: 534.5565539568491
x: 29.047117474257476 y: 531.6245682804323
x: 123.39668692289617 y: 563.3011132802279
x: 60.78797109318998 y: 527.8480374370271
x: 54.845401098346166 y: 499.1524195312702
x: 53.70893195195741 y: 511.6700060334764
x: 39.08172151022398 y: 501.0400279442472
x: 1.315024460993925 y: 486.90168927631925
x: 41.82068230662581 y: 479.3234232230613
x: 77.81237386602054 y: 498.42125177235533
x: 29.900472859163322 y: 480.54795351524774
x: 54.304607556135196 y: 497.0337977679999
x: 68.35816842096763 y: 482.0064267257581
x: 55.385322583722 y: 466.7885333421904
x: 31.549369309642273 y: 475.4538918470831
x: 90.11793744750153 y: 512.7320006719946
x: 68.15539884827847 y: 506.3084659212953
x: 209.90844813607305 y: 569.3575077086556
