screen_width: 1314 screen_height: 685
target_point: 9 target_x: 1287.72 target_y: 658.72
x: 1031.013154097713 y: 492.9718787525647
x: 927.5881221289275 y: 479.95274058429476
x: 895.8203735477241 y: 506.30264611171566
x: 910.3656434132655 y: 527.6689427013555
x: 894.2648511159778 y: 557.5005067285973
x: 906.09792038909 y: 583.3332438096315
x: 867.7417767027956 y: 554.7163447746119
x: 965.3826539065974 y: 597.4639472035037
x: 995.4431972625048 y: 574.5315285342538
x: 955.7464291845944 y: 540.8631885579944
x: 941.6564062961775 y: 551.4506357286624
x: 1025.7995719090857 y: 610.2215713429184
x: 1161.523517728097 y: 642.4628043673894
x: 1208.7959270699741 y: 658.7350408146718
x: 1192.9200965801324 y: 676.9924847470768
x: 1195.8464725636131 y: 704.1922252592948
x: 1239.668632743965 y: 720.576623382852
x: 1205.0549920926649 y: 705.549286051779
x: 1198.1482904373772 y: 701.493828859225
x: 1207.178076481526 y: 637.6654445904079
x: 1110.8047347501713 y: 681.1019531533567
x: 1120.93152072391 y: 674.8320357454672
x: 1138.8946025667226 y: 751.4249810221678
x: 1066.7015476992547 y: 715.433714424602
x: 1045.7786708531 y: 674.3581367285686
x: 1029.3737319847141 y: 626.9303838131018
x: 976.4264810364422 y: 591.3979743891832
x: 1006.0852400490194 y: 582.996286131005
x: 1050.3804809040496 y: 601.0071290853
x: 1086.4108354844107 y: 592.4675957703813
x: 1109.50267456958 y: 596.7168035353559
x: 1174.8537973628756 y: 635.9429878329087
x: 1193.083646571295 y: 694.7627047028581
x: 1150.362731793933 y: 655.8924691991197
x: 1145.2863141180444 y: 670.9350489948337
x: 1104.1010335360716 y: 663.0156623089721
x: 1071.6794206648922 y: 659.707100832456
x: 1038.0662124834892 y: 671.2590021391799
x: 1072.0031620156503 y: 652.0970212207262
x: 1138.1698294497953 y: 635.4494974061097
x: 1134.9242246755075 y: 645.6586865934818
x: 1111.0066891724568 y: 581.0910515248526
x: 1043.5115045699017 y: 581.2474359476586
x: 984.2196529290426 y: 600.0777538236548
x: 975.7180133624327 y: 599.532319003039
x: 1055.2032233203008 y: 644.6010906658787
x: 1045.4969524221708 y: 612.6932286972669
x: 995.2618494775022 y: 565.5558472075141
x: 1014.6208114086933 y: 556.0603810300973
x: 1071.698670819812 y: 523.3192773632696
x: 1064.553951869921 y: 521.0815914779823
x: 992.0735424599372 y: 508.798007326721
x: 1001.1255117568835 y: 526.5366595844024
x: 1011.1332949792642 y: 541.814388666061
x: 905.9651624997703 y: 527.8151457417979
x: 915.9211827325353 y: 545.8732932246681
x: 973.6352615434683 y: 565.9739523370937
x: 1021.2029611153068 y: 580.8768599150711
x: 1013.3785924199847 y: 570.056938650625
x: 948.1758927907533 y: 608.3375982265347
x: 910.2985741741531 y: 621.6016435048667
x: 945.9956976011198 y: 629.7281526113388
x: 963.0835509660685 y: 614.5386706422249
x: 1017.9750657706722 y: 620.094924866859
x: 1011.7118574112177 y: 591.3345646234815
x: 1027.3561817863722 y: 606.9303663240839
x: 1019.4440968730802 y: 577.5691781866062
x: 1026.9182906879496 y: 606.8214076828523
x: 1055.0429766107745 y: 643.5075898740923
x: 988.9103320140204 y: 600.9108352054387
x: 1029.3908883636957 y: 587.9568571449504
x: 1044.2447996204723 y: 609.4222710244617
x: 1076.622548278135 y: 628.1700366844789
x: 1141.241879974755 y: 643.946306410326
x: 1196.4304563821158 y: 629.945709541119
x: 1202.0998185622832 y: 644.0882271805474
x: 1206.9170044213997 y: 684.845677694489
x: 1326.7318294737597 y: 691.5032555442677
x: 1244.6337978590927 y: 689.2368363803085
x: 1271.5803916399545 y: 673.1599923621006
x: 1286.9219949949106 y: 681.6610427759629
x: 1266.5667791124004 y: 677.9571182214236
x: 1356.7171317364393 y: 733.6850154498617
x: 1315.0511867792725 y: 753.4464684926076
x: 1266.5267163620133 y: 718.9795766699265
x: 1182.131182394865 y: 666.8015996885634
x: 1175.3422935496417 y: 674.6963664955867
x: 1206.188900957518 y: 698.5160219309638
x: 1223.7096939505202 y: 685.1718733182319
x: 1161.1826759981905 y: 673.8312928221677
x: 1153.8004365139416 y: 666.0293497462659
x: 1072.9174545314404 y: 663.2586234089408
x: 1008.0404007962117 y: 636.6005325995509
x: 963.2218840484438 y: 576.2900043838057
x: 933.0762715391802 y: 545.6197991555655
x: 926.7035876816924 y: 527.188445418162
x: 946.3100087979608 y: 560.5258247300831
x: 997.030761995911 y: 610.1524026986673
x: 1043.8534427216914 y: 649.4772086252638
