screen_width: 1313 screen_height: 685
target_point: 5 target_x: 656.5 target_y: 342.5
x: 718.553744901007 y: 333.8107655587054
x: 660.200480759552 y: 300.8887844620355
x: 678.3684844224563 y: 270.760206525189
x: 728.304611998483 y: 287.46172970668727
x: 678.088699135095 y: 258.49051876548396
x: 686.7468619808138 y: 278.15099562482146
x: 637.3930317181884 y: 283.24368462568077
x: 665.8444421397895 y: 298.99287293666794
x: 670.0078603574027 y: 332.2472176036338
x: 701.4030870616815 y: 355.43775222655694
x: 780.5015874617794 y: 388.5926919402655
x: 799.1465471615246 y: 413.6635724199946
x: 793.1731419514385 y: 428.01342207592455
x: 705.2670034216588 y: 398.72138989527
x: 746.7598056884785 y: 386.4841378387346
x: 721.215723249867 y: 375.3299479925747
x: 766.7273451814243 y: 382.1679242747254
x: 711.4118036937114 y: 401.15211388468975
x: 653.6364237733154 y: 388.23446294383643
x: 599.0163961363534 y: 374.6129361502204
x: 541.4755580632394 y: 360.69455583154155
x: 517.0057491322992 y: 368.7766032928051
x: 458.5153348645613 y: 373.2843188609785
x: 454.3520647548284 y: 331.6550731690462
x: 470.52757350267757 y: 338.39620829365185
x: 507.23864191695935 y: 361.31250403540525
x: 479.83387761613324 y: 355.09772839669967
x: 506.12524710026236 y: 367.89101074460524
x: 506.3744158856094 y: 365.7996463900084
x: 506.3289237903548 y: 380.39565546153096
x: 486.5414036806876 y: 367.87713862385067
x: 495.1503933042863 y: 389.651495189424
x: 526.3156464579242 y: 375.9263802256273
x: 498.9151075051415 y: 379.8196930719035
x: 486.28913667588216 y: 379.8775176667761
x: 530.6662547577612 y: 381.59861457986426
x: 600.8815841835661 y: 384.7568815475004
x: 651.9191024027679 y: 422.36769330579244
x: 633.6852648700462 y: 409.1458293466903
x: 574.23808782194 y: 405.49484839220776
x: 656.7825876408488 y: 369.75516100558156
x: 700.2940014789402 y: 408.15495855472926
x: 690.1548318570515 y: 398.21232374376206
x: 720.020521659255 y: 363.4861749958672
x: 679.1661857778637 y: 346.12769414562246
x: 661.4216416172657 y: 337.59887765022467
x: 702.7691024573096 y: 329.9938372511641
x: 726.7346971260835 y: 331.8506487992041
x: 697.8660388999093 y: 342.81557401322215
x: 683.7782478953615 y: 343.8424278123112
x: 618.0364606962559 y: 362.8401366306282
x: 535.9394563961266 y: 350.1983370767178
x: 530.8700813286349 y: 354.269714463994
x: 534.9597767286797 y: 351.8396053562207
x: 508.6501457296471 y: 353.2165214460242
x: 518.6972316094375 y: 364.93133843872107
x: 565.8837534121267 y: 351.3749488596325
x: 587.1511044069209 y: 355.9142081883745
