screen_width: 1314 screen_height: 685
target_point: 5 target_x: 657 target_y: 342.5
x: 681.1810731298572 y: 230.87941120979463
x: 665.4597229300845 y: 254.46382526049644
x: 674.3773644451435 y: 259.54635750227027
x: 696.1254665552351 y: 243.98029089660346
x: 718.6389673934062 y: 255.26821396689294
x: 691.6917309373741 y: 243.33429337020698
x: 714.4888400705491 y: 249.65178241793683
x: 695.8465273196372 y: 233.73998071652463
x: 691.8540987836094 y: 191.99270358978265
x: 686.3033330207103 y: 198.16520449901842
x: 618.522752980427 y: 168.0002704384381
x: 548.1857775319761 y: 156.68463459463626
x: 598.5099382979146 y: 182.99418445990997
x: 557.6834645549894 y: 157.03398470942673
x: 628.1946739056413 y: 150.14559535822522
x: 710.392256347084 y: 173.1779397563609
x: 734.8740551769245 y: 146.51238912760283
x: 677.2104373521448 y: 143.55757382834986
x: 725.1130698679283 y: 183.4044855250087
x: 768.6876087624173 y: 191.5243261975346
x: 727.9888601692752 y: 200.94777187437506
x: 739.1321930902561 y: 215.8058350971149
x: 659.4451055160562 y: 207.1526264571855
x: 668.3971127353441 y: 181.45467978788912
x: 671.1983783133682 y: 194.10350339803986
x: 741.0136204908355 y: 233.02775388708568
x: 682.1185598571786 y: 272.32522459512785
x: 620.6734526502848 y: 262.3490983052141
x: 575.9930518260862 y: 236.62684332366103
x: 553.1133123331967 y: 246.03913399793183
x: 554.8320408645202 y: 218.8902082441827
x: 506.90976669498076 y: 210.2819076207632
x: 529.797606449538 y: 181.05850029414574
x: 571.3106822926546 y: 173.44177227171323
x: 548.8997168146645 y: 183.084362430022
x: 560.213421627763 y: 179.1587882024448
x: 598.6628651068768 y: 151.39033408621685
x: 604.3767796936885 y: 142.3519494050641
x: 696.9563333232024 y: 182.09397617564503
x: 694.5004710151668 y: 185.85787285694693
x: 727.2483120658775 y: 186.5006256554381
x: 707.0078553094837 y: 189.39011622063387
x: 690.5995896627809 y: 200.72365458474786
x: 717.0644166067377 y: 214.478479480541
x: 697.7285539353238 y: 227.23086875685655
x: 679.6907766549151 y: 217.47436461860866
x: 718.4712527671938 y: 252.03458998909085
x: 700.7314608647808 y: 238.67579302640655
x: 686.925135535347 y: 208.12734895962836
x: 732.3730485879895 y: 205.46260892303397
x: 668.8317278362422 y: 198.56772469643633
x: 684.8891062407309 y: 208.52436854241347
x: 705.16986960371 y: 196.26372707880043
x: 689.7188100100946 y: 168.3183643798513
x: 690.6568717888755 y: 176.71182458304108
x: 638.3118134196161 y: 195.23603032213032
x: 641.9464296398809 y: 189.93793237063892
x: 676.7838796048741 y: 227.08858754803506
x: 662.8380660986963 y: 225.8152804769217
x: 650.4398758437308 y: 208.505199981115
x: 664.460382224176 y: 194.93759954780603
x: 656.883556820968 y: 160.3062140373396
x: 590.6060120900148 y: 100.94220713929124
x: 619.0150620400159 y: 114.55006918085076
x: 544.2254404840364 y: 102.3577868411482
x: 574.1857136028036 y: 122.45756376884641
x: 588.3632304103282 y: 137.58593818276884
x: 620.0140930290761 y: 133.8356433328121
x: 567.7154518695158 y: 137.75940191734287
x: 576.3807750805562 y: 180.67774482223209
x: 583.8406461570085 y: 197.4785733601243
x: 589.7342786366086 y: 226.6526046443671
x: 577.5907150887044 y: 250.43995706215392
x: 650.9830394568015 y: 262.98662863804884
x: 723.9750708836359 y: 234.3393315745112
x: 722.3026808900381 y: 229.55663345557073
x: 731.9624971826152 y: 235.8071462716867
x: 687.7261392950426 y: 214.45489871778915
x: 699.0521795230943 y: 225.616658472173
x: 787.3887085123635 y: 248.10797058430674
x: 734.5856828216429 y: 266.70580107422404
x: 684.4723919437434 y: 252.86254125571108
x: 653.8207285903383 y: 224.82802064366416
x: 643.8346420001783 y: 214.92602079148247
x: 673.118656438638 y: 209.99054762006517
x: 673.8328789703486 y: 190.32653964856877
x: 692.5844525273094 y: 194.04672181355582
x: 674.2987427944388 y: 163.75777434096892
x: 639.1205605316948 y: 150.73449528294097
x: 685.4626338123413 y: 157.80972292708205
x: 659.0446267988233 y: 179.17953579496628
