screen_width: 1314 screen_height: 742
target_point: 1 target_x: 26.28 target_y: 26.28
x: -244.0300545893653 y: -354.16612110501126
x: -307.454896746087 y: -394.2700514653759
x: -356.200840539987 y: -388.4764035552636
x: -387.9826726758131 y: -375.3144081441636
x: -416.188799207986 y: -365.1024442820759
x: -421.18193153742885 y: -325.074403177777
x: -333.7652407688314 y: -261.29192415057366
x: -329.5200802091612 y: -251.60628864550654
x: -293.0550723306237 y: -252.03738450677008
x: -246.8297462550608 y: -224.12661071188728
x: -218.05770650478445 y: -233.1634119298886
x: -262.6589060428841 y: -236.7499395587509
x: -261.310470241295 y: -232.19751284371875
x: -252.10164358976084 y: -234.64207013939128
x: -241.90475872688765 y: -251.62470120212384
x: -249.00571195260636 y: -258.037324704712
x: -228.75653699533703 y: -252.99052911987974
x: -174.30501687401215 y: -228.63645274069083
x: -139.47310671247965 y: -221.4427787278978
x: -182.32838550333085 y: -231.31839207367005
x: -218.55849730201973 y: -237.42191612651254
x: -234.7963911459276 y: -247.91453179073315
x: -235.1247220385455 y: -250.20698252416165
x: -228.70011577598294 y: -226.74156825181888
x: -272.5632527360717 y: -239.7103882555671
x: -266.91530762691974 y: -227.262792232186
x: -261.36177193361493 y: -216.75474871486742
x: -315.771672634448 y: -243.95161778414547
x: -326.32422933801917 y: -252.56194938476474
x: -330.3982488982451 y: -271.807806040818
x: -307.77316082513784 y: -271.9612125445392
x: -317.7926566827603 y: -270.51386766659397
x: -281.78282421265095 y: -267.2601074541086
x: -274.8701613302858 y: -265.7045936309451
x: -261.7301318267631 y: -240.57656010719398
x: -259.36896706811126 y: -254.8863770890546
x: -209.83411672729633 y: -247.95044488982768
x: -211.00160407386517 y: -252.76991325248582
x: -217.84280582018462 y: -282.6204429736331
x: -247.89759859163058 y: -293.0841278059531
x: -298.73519411296803 y: -305.9289702851473
x: -333.12586337532 y: -304.9928535745765
x: -360.253724551155 y: -310.01288966054386
x: -364.7810012372396 y: -309.2295556508797
x: -313.7093880768649 y: -274.9908442033341
x: -317.07940042614945 y: -283.6057100020113
x: -262.84887027182236 y: -269.1061733891197
x: -249.41447381380587 y: -280.8512115624987
x: -251.73381179620375 y: -303.3749997679959
x: -272.28453110182517 y: -338.49069624508473
x: -249.02538747158178 y: -303.31679651182213
x: -236.2400302316747 y: -295.5329523065292
x: -202.10238706140433 y: -282.45332390914353
x: -213.8085308764491 y: -311.0950043615787
x: -196.64926028934192 y: -302.92928691619977
x: -244.8747311966823 y: -311.6402392366038
x: -274.52346253832025 y: -318.9178616981302
x: -343.42910127500426 y: -339.7672667213541
x: -316.95891194639944 y: -329.66943975614646
x: -313.7985921403733 y: -338.24148495718754
x: -297.11880722468095 y: -298.04416522865574
x: -289.02858092457876 y: -260.27092294302906
x: -280.5173849879971 y: -259.33322949330204
x: -308.21453566433377 y: -273.2919154387237
x: -322.36298117648533 y: -302.93625596174263
x: -380.5306914098247 y: -337.71036645879906
x: -365.235713315759 y: -311.37244232385854
x: -361.7167111130625 y: -296.11862293730354
x: -332.31568928720947 y: -286.13038475942346
x: -249.19686214264965 y: -267.0295491898389
x: -266.55409643697965 y: -268.5996460423132
x: -238.8484982344362 y: -256.35484433483487
x: -200.88169620017408 y: -269.9445836529612
x: -212.9103374826418 y: -280.5099287070179
x: -201.9569779124015 y: -262.0132594709301
x: -210.54333402881684 y: -241.3630338179286
x: -212.4579138130514 y: -225.993186075235
x: -221.72823447489858 y: -213.05275340134986
x: -257.7685455940541 y: -237.93429641888994
x: -278.61691977854525 y: -247.95276107460373
x: -263.89248082828937 y: -262.0519601999536
x: -292.421122568689 y: -286.20261339413184
x: -319.84131150494454 y: -314.4523266359848
x: -344.03955487273606 y: -326.9533322715474
x: -314.1012067540074 y: -330.116781279362
x: -261.96994842106716 y: -311.13712157372674
x: -334.8403282475705 y: -333.1046208754199
x: -338.539353773698 y: -324.38196905753284
x: -274.81820442448486 y: -291.8823370923887
