screen_width: 1313 screen_height: 685
target_point: 9 target_x: 1286.74 target_y: 658.74
x: 1200.5251887540617 y: 641.7418884154417
x: 1206.6183322171778 y: 647.1448707630985
x: 1167.2328670349357 y: 627.6593792582864
x: 1164.4722882966685 y: 644.9890397894094
x: 1173.1223654426824 y: 670.8922839516027
x: 1231.4832750066794 y: 716.2863814831064
x: 1276.9180066948472 y: 737.2307036905298
x: 1290.7057075531504 y: 732.4908939592234
x: 1298.6598277763446 y: 702.8481053855726
x: 1283.3143709528013 y: 680.3137846051338
x: 1290.644301848815 y: 657.4088172520536
x: 1280.025313131393 y: 656.3460731833295
x: 1289.7531463892533 y: 650.931657982479
x: 1290.9168028660185 y: 653.5437686564115
x: 1302.51820230054 y: 652.8012574431225
x: 1271.2481018403842 y: 638.3655288238789
x: 1255.245126791488 y: 634.2374214706573
x: 1212.0226194302072 y: 615.5163851907967
x: 1235.4495900045108 y: 621.2891860601771
x: 1261.7905322673219 y: 635.8254941769626
x: 1323.3103636013536 y: 668.8573148526965
x: 1299.0696883353323 y: 713.6223147765667
x: 1249.0597943790374 y: 670.9335345797605
x: 1291.3161128745892 y: 697.9391581473111
x: 1296.2058214438139 y: 674.1057589635977
x: 1234.2727993668823 y: 662.6385916311928
x: 1233.5516147878047 y: 655.115750114261
x: 1245.9325964414882 y: 643.3079603159308
x: 1192.9345002843168 y: 611.2218962453
x: 1238.739435354165 y: 596.3539329090564
x: 1238.2607876933014 y: 606.2939120905795
x: 1216.0705897195983 y: 626.7137606059936
x: 1172.7843404310468 y: 576.4227951636144
x: 1129.7108825560188 y: 579.6895562295866
x: 1128.5622530647634 y: 557.0664153171879
x: 1100.0035668140306 y: 547.2944597377649
x: 1092.1334809458363 y: 543.9943098773387
x: 1178.5323788268295 y: 580.2218565906118
x: 1220.615243446288 y: 620.105846320325
x: 1263.3632299288822 y: 645.324970208793
x: 1251.2772852600006 y: 630.6742666541757
x: 1273.109854077057 y: 623.9172160846339
x: 1294.8779618363437 y: 660.1030002512391
x: 1351.1794893360438 y: 641.11278425878
x: 1348.1865273229826 y: 663.8982673184698
x: 1343.7739747057074 y: 687.5754905434779
x: 1369.6733411111827 y: 686.8220418929071
x: 1390.2735350925261 y: 693.5383592085905
x: 1393.5821677155761 y: 693.685158979612
x: 1411.9281858623478 y: 704.2279547826855
x: 1440.385599262373 y: 711.1693541913139
x: 1385.2322451939601 y: 683.0480339018036
x: 1306.400318820702 y: 636.1144625800584
x: 1223.8338048909552 y: 619.062284293405
