screen_width: 1314 screen_height: 685
target_point: 6 target_x: 1287.72 target_y: 342.5
x: 1550.9089110151722 y: 423.6096224046602
x: 1488.8111052989502 y: 397.9394605668423
x: 1392.0211768176744 y: 403.19768261661534
x: 1406.352225137232 y: 412.1710421527677
x: 1364.0482854287227 y: 409.77072301027766
x: 1275.8238899235762 y: 400.66367082272484
x: 1337.6313869382789 y: 404.47863762198637
x: 1383.0256716840327 y: 391.4215221106845
x: 1488.9376343953797 y: 424.38760667980966
x: 1515.279727093813 y: 480.45619550869355
x: 1489.175172682821 y: 466.0492487303788
x: 1460.690587948125 y: 473.7969110313477
x: 1524.0786792145757 y: 438.513067297564
x: 1467.566953988446 y: 456.4083678425001
x: 1555.1999167711524 y: 467.6199424621286
x: 1538.5819924616626 y: 460.033652776022
x: 1480.8471267133318 y: 464.599995429082
x: 1319.0843738449412 y: 438.0866828358008
x: 1373.3889634984373 y: 419.93068618973194
x: 1326.7336157208451 y: 394.9826995695109
x: 1352.3165938282089 y: 373.4414054016234
x: 1352.4711580948224 y: 363.0018276068642
x: 1314.5758911400728 y: 343.65962728686077
x: 1320.5704899576465 y: 360.7376318860329
x: 1314.8918521127546 y: 361.568888472567
x: 1406.5270454285874 y: 422.18214671635275
x: 1346.5559920666417 y: 424.08403172489545
x: 1354.1165743205497 y: 407.93343385997747
x: 1323.614379520052 y: 419.4026100943711
x: 1349.0163311260094 y: 453.90705356812555
x: 1433.1433421667132 y: 486.8773447726898
x: 1383.4362132006822 y: 499.6819389898154
x: 1390.7191122659742 y: 492.8176042985714
x: 1415.2840935757374 y: 518.1502277649082
x: 1462.5618699769766 y: 495.0011244125427
x: 1538.4606007173925 y: 514.3721577353157
x: 1531.7293927590601 y: 492.4759834703322
x: 1520.1579076010614 y: 481.3378057712176
x: 1547.3560428498506 y: 447.6593247021139
x: 1575.026634042811 y: 419.1469295286918
x: 1596.3177548619958 y: 413.6773165330947
x: 1620.8746780479175 y: 429.2575921405841
x: 1628.7698924065373 y: 442.80259679370306
x: 1692.267661724015 y: 456.5844537301062
x: 1670.7825990270462 y: 468.96375311188336
x: 1638.0389817676364 y: 486.70110378211797
x: 1562.2115455956014 y: 496.23803431477654
x: 1488.5566370636823 y: 488.60456165990286
x: 1463.7366041780524 y: 447.4541404743305
x: 1489.473115598396 y: 426.71876562877526
x: 1515.7093052108924 y: 412.0571350457309
x: 1484.091080903427 y: 382.1806198832421
x: 1499.791138006719 y: 405.4758336074931
x: 1604.864860554638 y: 418.8699399263301
x: 1527.1851103336387 y: 395.26937354048306
x: 1515.811117483618 y: 365.81278279465295
x: 1518.8746242323512 y: 365.23486056994943
x: 1539.61246351545 y: 345.63678189491185
x: 1555.6424640051264 y: 374.36803437241156
x: 1512.5832087255362 y: 401.1936284902924
x: 1487.8797724099975 y: 418.1572389586299
x: 1512.023872511544 y: 434.06828029128076
x: 1524.920723228446 y: 431.79721129107827
x: 1571.4429369875588 y: 449.4492170162218
x: 1514.6481223985352 y: 384.18255004643095
x: 1549.8342589769325 y: 375.3968658095122
x: 1528.4588348546572 y: 315.32846233323176
x: 1561.4851567357855 y: 303.86225188684085
x: 1566.3198927133444 y: 339.6103554133664
x: 1563.6347703280287 y: 350.5489499893525
x: 1541.2051083015626 y: 349.2510269111806
x: 1497.142238827519 y: 420.23370380740676
x: 1535.6319323588878 y: 431.70785030427305
x: 1525.6889074808519 y: 436.6212904139428
x: 1502.0706993805852 y: 441.9216086071276
x: 1583.7238019278068 y: 492.10804317213984
x: 1572.8141132861392 y: 467.43254887735696
x: 1668.1027117397534 y: 441.7373988272346
x: 1646.7029477074104 y: 436.5086372028713
x: 1584.7831439715064 y: 422.81795757761466
x: 1582.7989337364013 y: 398.67269939628517
x: 1591.1530119317358 y: 321.4097973237758
x: 1612.2800693858685 y: 287.07167059156336
x: 1571.118260244783 y: 266.64431809989117
