screen_width: 1313 screen_height: 685
target_point: 8 target_x: 656.5 target_y: 658.74
x: 595.0851309688874 y: 576.2570315478207
x: 570.0188417392104 y: 558.3272601050405
x: 535.4527651025343 y: 554.0641353008385
x: 542.2679574106279 y: 535.2502871034839
x: 533.336575128004 y: 498.04197510783473
x: 580.2562351933532 y: 526.8355710344042
x: 591.366201273707 y: 530.5931734474577
x: 629.1439423874499 y: 508.7250745103469
x: 685.6891292724464 y: 526.6882866375557
x: 690.7944017081516 y: 568.0845657673776
x: 643.7099533428569 y: 551.5135840342922
x: 697.3878293102831 y: 586.9899690531217
x: 713.6569661444014 y: 615.4953432503555
x: 675.2791083534137 y: 643.5063528001953
x: 637.7218634108307 y: 625.1755807130835
x: 637.2989033591584 y: 627.3330692047123
x: 653.4396363583043 y: 637.4786123881452
x: 716.6039910214793 y: 658.1707583819837
x: 723.3786753454074 y: 646.6800611424815
x: 695.5544577250787 y: 633.2538370729337
x: 672.1377396469438 y: 619.3196365207859
x: 684.2466570106031 y: 614.7073876766018
x: 660.8010257183184 y: 597.3713355455735
x: 624.4586211859672 y: 592.0776258607925
x: 654.0021010212678 y: 609.8739329233194
x: 683.0757631568749 y: 604.6794440846483
x: 649.3584431633371 y: 596.5985258980753
x: 641.0457963740989 y: 592.1717492790577
x: 626.1593219423983 y: 568.7281268773226
x: 600.0229510210444 y: 555.59626204372
x: 609.7950628272757 y: 582.7340330288836
x: 631.8635689976385 y: 593.4585088813158
x: 581.8954536865854 y: 548.044268270397
x: 565.490622891002 y: 564.8877001258513
x: 622.670316931877 y: 562.4073333246006
x: 616.9023152112926 y: 556.189916960778
x: 632.3887218785607 y: 567.2008503860916
x: 667.0912188805338 y: 612.0182792416887
x: 675.9787681433019 y: 634.0303595930079
x: 630.171834203865 y: 621.2195009092869
x: 642.0017332176848 y: 584.0270552351772
x: 659.4905038691476 y: 596.6066508742989
x: 708.2697623685941 y: 629.1784158931124
x: 682.0808644159644 y: 604.178192478644
x: 651.0707966677597 y: 584.137751954804
x: 664.4769935868115 y: 634.0005758469107
x: 656.311375318214 y: 652.2984847252183
x: 662.2867994607882 y: 664.0815965222581
x: 635.1683415770768 y: 662.7840631468891
x: 629.0220221677309 y: 633.8067641581208
x: 654.7884135421272 y: 625.9539633606591
x: 636.0179511085453 y: 620.4364405451855
x: 623.6438452363959 y: 600.3093422133131
x: 619.9162828245488 y: 599.5246222615566
