screen_width: 1313 screen_height: 685
target_point: 7 target_x: 26.26 target_y: 658.74
x: 77.56826192894114 y: 609.4567978503268
x: 98.90168305017843 y: 625.8889914906931
x: 106.74687706427176 y: 641.4818935456102
x: 77.91342916801162 y: 622.6136179258718
x: 94.51886897612164 y: 633.9293857161636
x: 94.56646227382478 y: 651.4303010841822
x: 96.47479377622473 y: 646.2895556966046
x: 137.42517477100063 y: 666.6812718701105
x: 135.1367676382849 y: 629.9177750806383
x: 118.98409634638081 y: 577.0061435045081
x: 126.02431110532551 y: 593.5430043579275
x: 185.35047419430927 y: 625.2550310718774
x: 206.3459380376834 y: 640.1367957534935
x: 213.44093511913272 y: 619.1628979081635
x: 172.97079251064505 y: 626.1026462629328
x: 147.39589143103433 y: 601.1705873127949
x: 92.45392792352854 y: 574.6690234909164
x: 132.92512759069905 y: 615.8387450713993
x: 108.07921540742694 y: 611.8077204848057
x: 99.37871158029505 y: 620.8869798798601
x: 120.50911509809251 y: 587.0103945039333
x: 139.58490203989453 y: 586.3425608046857
x: 132.9116699801986 y: 612.4049180837802
x: 56.1094327185438 y: 594.3916115304893
x: 111.94333497844814 y: 619.2826546382671
x: 95.48707136163866 y: 604.2800007696038
x: 103.33760892575708 y: 596.2632474518334
x: 123.21293298635513 y: 586.6229678808368
x: 131.65857515695402 y: 579.6560885075805
x: 194.1463413876637 y: 590.801150183058
x: 194.10288202333695 y: 582.8646998934714
x: 147.48014550288906 y: 520.7717507185969
x: 123.2278621735355 y: 518.7544012519801
x: 149.571179713396 y: 525.371858260147
x: 168.84459929702544 y: 548.5941433256842
x: 178.21695572182205 y: 570.9951724441103
x: 170.2407245685858 y: 582.4956182993179
x: 135.65656172812632 y: 597.3899769665912
x: 159.28903949930805 y: 602.9529079254851
x: 207.66240850019813 y: 616.6027912364812
x: 219.04506700730656 y: 628.9953452636997
x: 246.60816728812108 y: 679.4256236211969
x: 231.60685076725102 y: 707.6434832097607
x: 224.8635709015499 y: 709.4386858095685
x: 241.0358310908969 y: 722.5490021710561
x: 242.9087228883921 y: 727.9789866326862
x: 197.63669208857078 y: 715.1117547571009
x: 177.54752470693137 y: 668.7693885223863
x: 104.36240670608572 y: 639.9379951386364
x: 82.14925037565668 y: 610.6939946215015
x: 92.9163817869197 y: 615.3537261860079
x: 94.41912575327164 y: 599.5302705881883
x: 60.65186685808696 y: 553.9588236440301
x: 83.22095287571005 y: 570.2080016074445
x: 84.7795029350824 y: 563.7152413606238
x: 122.65162781534471 y: 588.2943109726839
x: 117.75636391472014 y: 585.9647361471544
x: 139.67478329466138 y: 610.8077626309206
x: 156.7802917845996 y: 600.7059439462835
x: 166.05399835531233 y: 611.2642135851023
x: 150.92907455210175 y: 627.3281719179538
x: 158.73022878563916 y: 627.5152352375876
x: 115.20824583175238 y: 610.8510129331329
x: 149.16969672400887 y: 638.0524008889165
x: 116.85195327384771 y: 627.5246304510158
x: 198.4764519105152 y: 641.8047074884398
