screen_width: 1313 screen_height: 742
target_point: 2 target_x: 656.5 target_y: 26.26
x: 710.1637580254273 y: 96.34811773549917
x: 674.2189554919651 y: 60.57912302932052
x: 634.7244037603394 y: 32.78710086422808
x: 640.5800476296959 y: -1.1880551174683731
x: 648.7656540719881 y: 13.38572416871817
x: 624.1954285068111 y: 24.929288223062432
x: 609.5313157543692 y: 38.695678608425744
x: 601.8412901664733 y: 15.297599736265806
x: 629.2905979219213 y: 54.22071970860022
x: 697.8821012523175 y: 106.70670981590118
x: 620.5374203353773 y: 52.202307102676926
x: 609.7931696309162 y: 39.369036843050885
x: 606.6123946743714 y: 16.191639530229605
x: 676.1906896594431 y: -11.640823557346078
x: 678.032383174313 y: -51.71214461731407
x: 658.1991510869809 y: -49.46180439614795
x: 685.712263527003 y: -4.162038987647371
x: 657.3293531332647 y: -4.1927323192948975
x: 640.6706756979806 y: -22.512899313931435
x: 664.9168265083744 y: 12.672210073161182
x: 669.2645087467987 y: 30.537491438612776
x: 678.4992189666608 y: 48.70913388124922
x: 667.7689887669158 y: 77.59313698710375
x: 681.5646237603436 y: 84.1961398507598
x: 683.9935694356161 y: 107.5904272526345
x: 667.6486587346075 y: 105.78698364122744
x: 639.2825108592033 y: 87.29397378972371
x: 640.2844168870578 y: 91.99959825115226
x: 612.5556875354209 y: 114.27832373071155
x: 626.5323718855794 y: 135.27438046162635
x: 596.2847451493212 y: 75.06109852036352
x: 573.6268409498299 y: 34.05129051019985
x: 552.8937644623073 y: 26.513795039734752
x: 594.7672948994793 y: 20.62733846068218
x: 593.4631963598347 y: 39.44712088097849
x: 580.1966198647053 y: -1.6247715380919914
x: 598.3363701258583 y: 22.947486026366178
x: 676.5821941692158 y: 35.39398847024191
x: 644.0490974076669 y: 48.74596465988759
x: 613.0997582836253 y: 28.046053130893362
x: 603.5969801659948 y: 9.297496550610955
x: 578.1104328997641 y: 2.519712275210084
x: 594.925913436665 y: -5.843628164273417
x: 615.376057928813 y: -6.361249499978165
x: 615.4994431897843 y: 19.736706444134818
x: 639.3085816004651 y: 33.563965656000796
x: 651.8601028045875 y: 38.792082301296674
x: 612.3156418254177 y: 34.9032821425082
x: 626.4944735040153 y: 2.2710820437972927
x: 614.3460350766472 y: 9.173674313654445
x: 667.7582745118095 y: 16.236969268058573
x: 638.1490934329995 y: 3.366654586928986
x: 663.4600361124748 y: -3.5713237643366784
x: 692.1119714829762 y: 22.74458899397782
x: 672.1679763330676 y: 21.65550659782596
x: 698.7203987004291 y: 41.00234998419098
x: 661.1180611794974 y: 28.818265085150113
x: 634.0374965792485 y: 6.007366947294681
x: 696.2349433379956 y: 51.37949193686527
x: 720.1631502061239 y: 31.061801387634244
x: 664.9105094404604 y: 5.3935839270703845
x: 666.1138146833445 y: 32.39817208860359
x: 662.4847623422696 y: 35.535053775722616
x: 707.5872847297252 y: 39.8599760692047
x: 739.2094429335874 y: 32.081696597093995
x: 761.4746422892227 y: 43.28535503199397
x: 752.0612508833624 y: 73.14907120380778
x: 686.4599824444517 y: 13.744503445418985
